link_id,road_nm,start_nd_cd,start_nd_nm,start_lng,start_lat,end_nd_cd,end_nd_nm,end_lng,end_lat,dist,xy_list,h3_index
1220003104,영동대로,1220038600,사조빌딩,127.0638726804048,37.50754763435278,1220040300,삼성역사거리,127.06315512481721,37.508887515967785,162.0,127.0630927057693356_37.5088663018328887|127.0638102634016207_37.5075264205907857,8930e1cae1bffff
1220003204,영동대로,1220040300,삼성역사거리,127.06315512481721,37.508887515967785,1220038600,사조빌딩,127.0638726804048,37.50754763435278,162.0,127.0639350985735092_37.5075688471800746|127.0632175427686121_37.5089087291692067,8930e1cae13ffff
1220003302,영동대로,1220040300,삼성역사거리,127.06315512481721,37.508887515967785,1220042500,아이파크타워,127.06088033934905,37.51312227275745,511.0,127.0608179467803467_37.5131010042639232|127.0630927340003353_37.5088662486585420,8930e1cae13ffff
1220003303,영동대로,1220042500,아이파크타워,127.06088033934905,37.51312227275745,1220043800,코엑스앞교차로,127.06023088804346,37.514265479604994,139.0,127.0601690571813975_37.5142431914513494|127.0608185103689891_37.5130999849382221,8930e1cae8bffff
1220003402,영동대로,1220042500,아이파크타워,127.06088033934905,37.51312227275745,1220040300,삼성역사거리,127.06315512481721,37.508887515967785,511.0,127.0632175145376692_37.5089087823435889|127.0609427330834507_37.5131435403163209,8930e1cae8bffff
1220003403,영동대로,1220043800,코엑스앞교차로,127.06023088804346,37.514265479604994,1220042500,아이파크타워,127.06088033934905,37.51312227275745,139.0,127.0609421694969114_37.5131445605436156|127.0602927178111656_37.5142877677267137,8930e1cae83ffff
1220004001,영동대로,1220043800,코엑스앞교차로,127.06023088804346,37.514265479604994,1220044400,하와이호텔,127.05989472223662,37.51491288209648,78.0,127.0598320077014733_37.5148922196278249|127.0601681739571944_37.5142448164111499,8930e1cae83ffff
1220004101,영동대로,1220044400,하와이호텔,127.05989472223662,37.51491288209648,1220043800,코엑스앞교차로,127.06023088804346,37.514265479604994,78.0,127.0602936021635827_37.5142861418644316|127.0599574368062576_37.5149335445317433,8930e1cae83ffff
1220028002,테헤란로,1220038700,삼성동현대백화점,127.05943749914655,37.5077380151327,1220039500,슈페리어사옥,127.0619927993703,37.508528137985174,242.0,127.0619682457684121_37.5085785350504182|127.0594129429530881_37.5077884116753708,8930e1caec3ffff
1220028003,테헤란로,1220039500,슈페리어사옥,127.0619927993703,37.508528137985174,1220040300,삼성역사거리,127.06315512481721,37.508887515967785,110.0,127.0631305707486973_37.5089379132715592|127.0619682457684121_37.5085785350504182,8930e1caec7ffff
1220028103,테헤란로,1220040300,삼성역사거리,127.06315512481721,37.508887515967785,1220039500,슈페리어사옥,127.0619927993703,37.508528137985174,110.0,127.0620173540702638_37.5084777409138468|127.0631796777209672_37.5088371177581195,8930e1cae13ffff
1220028802,테헤란로,1220040300,삼성역사거리,127.06315512481721,37.508887515967785,1220040800,삼성역Iriver,127.064673144716,37.509352833821396,144.0,127.0646487747935680_37.5094032880989090|127.0631307528924054_37.5089379699375129,8930e1cae13ffff
1220028902,테헤란로,1220040800,삼성역Iriver,127.064673144716,37.509352833821396,1220040300,삼성역사거리,127.06315512481721,37.508887515967785,144.0,127.0631794955782681_37.5088370619932689|127.0646975146064221_37.5093023804394576,8930e1cae13ffff
1220030802,봉은사로,1220043100,봉은사삼거리,127.0563356791379,37.513553896664824,1220043800,코엑스앞교차로,127.06023088804346,37.514265479604994,353.0,127.0602157191941757_37.5143181717348000|127.0563205065623578_37.5136065892044499,8930e1ca16fffff
1220030902,봉은사로,1220043800,코엑스앞교차로,127.06023088804346,37.514265479604994,1220043100,봉은사삼거리,127.0563356791379,37.513553896664824,353.0,127.0563508505617278_37.5135012050243262|127.0602460568707812_37.5142127865717754,8930e1cae83ffff
1220031404,봉은사로,1220043800,코엑스앞교차로,127.06023088804346,37.514265479604994,1220043801,삼성1동주민센터,127.06181345453055,37.514543039747174,143.0,127.0617988614312139_37.5145958362925640|127.0602162938821067_37.5143182750572635,8930e1cae83ffff
1220031503,봉은사로,1220043801,삼성1동주민센터,127.06181345453055,37.514543039747174,1220043800,코엑스앞교차로,127.06023088804346,37.514265479604994,143.0,127.0602454810524904_37.5142126832500438|127.0618280464789649_37.5144902441011183,8930e1cae83ffff
1220075400,테헤란로98길,1220038100,대치동송석빌딩,127.06269306923448,37.50719521656267,1220039500,슈페리어사옥,127.0619927993703,37.508528137985174,160.0,127.0619302002696571_37.5085072666117512|127.0626304699219986_37.5071743455553843,8930e1cae1bffff
1220075500,테헤란로98길,1220039500,슈페리어사옥,127.0619927993703,37.508528137985174,1220038100,대치동송석빌딩,127.06269306923448,37.50719521656267,160.0,127.0627556674508156_37.5072160875372802|127.0620553996367903_37.5085490093247529,8930e1caec7ffff
1000002003,종로,1000011700,흥인지문사거리,127.0090551603829,37.57134778755285,1000011300,동대문역10번출구,127.00806723147087,37.57107853009756,94.0,127.0080672314708181_37.5710785300975232|127.0082747571647133_37.5710829540366547|127.0084909821378574_37.5711078809344414|127.0086667767084236_37.5711528422383196|127.0087931039338400_37.5711945228473638|127.0090830586915587_37.5712984982684759,8930e1d8993ffff
